iter	Passed	Remaining
0	1	1960
1	3	1747
2	4	1654
3	6	1618
4	8	1594
5	9	1583
6	11	1572
7	12	1601
8	14	1604
9	16	1599
10	17	1584
11	19	1579
12	20	1575
13	22	1567
14	23	1561
15	25	1560
16	27	1561
17	28	1577
18	30	1580
19	32	1578
20	33	1576
21	35	1573
22	36	1570
23	38	1565
24	40	1562
25	41	1559
26	43	1556
27	45	1567
28	46	1567
29	48	1563
30	50	1563
31	51	1563
32	53	1561
33	54	1559
34	56	1555
35	57	1551
36	59	1552
37	61	1562
38	63	1567
39	65	1564
40	66	1560
41	68	1558
42	69	1554
43	71	1555
44	73	1554
45	74	1552
46	76	1558
47	78	1561
48	80	1559
49	81	1556
50	83	1553
51	85	1552
52	86	1550
53	88	1549
54	90	1547
55	91	1548
56	93	1549
57	95	1549
58	97	1549
59	98	1546
60	100	1544
61	102	1545
62	103	1544
63	105	1543
64	107	1541
65	109	1546
66	111	1546
67	112	1547
68	114	1546
69	116	1545
70	117	1543
71	119	1540
72	121	1538
73	122	1536
74	124	1540
75	126	1540
76	128	1539
77	130	1542
78	132	1539
79	133	1538
80	135	1535
81	136	1533
82	138	1530
83	140	1531
84	142	1532
85	144	1531
86	145	1530
87	147	1527
88	149	1525
89	150	1523
90	152	1520
91	153	1518
92	155	1517
93	157	1518
94	159	1518
95	161	1516
96	162	1514
97	164	1512
98	165	1509
99	167	1507
100	169	1504
101	170	1502
102	172	1503
103	174	1504
104	176	1502
105	177	1499
106	179	1498
107	181	1496
108	182	1494
109	184	1492
110	185	1489
111	187	1487
112	189	1488
113	191	1489
114	193	1489
115	195	1487
116	196	1486
117	198	1484
118	200	1482
119	201	1481
120	203	1481
121	206	1483
122	208	1484
123	209	1482
124	211	1481
125	213	1478
126	214	1476
127	216	1474
128	217	1471
129	219	1469
130	221	1471
131	223	1468
132	225	1467
133	226	1465
134	228	1465
135	230	1464
136	232	1462
137	233	1460
138	235	1460
139	237	1461
140	239	1459
141	241	1456
142	242	1454
143	244	1452
144	245	1450
145	247	1448
146	249	1446
147	250	1440
148	252	1439
149	253	1438
150	255	1436
151	257	1434
152	258	1432
153	260	1430
154	261	1428
155	263	1426
156	265	1423
157	266	1421
158	268	1422
159	270	1420
160	272	1419
161	273	1416
162	275	1414
163	277	1412
164	278	1410
165	280	1409
166	282	1407
167	283	1405
168	285	1404
169	287	1402
170	288	1400
171	290	1398
172	292	1395
173	293	1393
174	295	1391
175	296	1389
176	298	1386
177	300	1385
178	301	1385
179	303	1384
180	305	1382
181	307	1380
182	308	1379
183	310	1378
184	312	1376
185	313	1374
186	315	1372
187	317	1372
188	319	1371
189	321	1370
190	323	1369
191	325	1367
192	326	1365
193	327	1359
194	328	1357
195	330	1355
196	332	1355
197	334	1353
198	335	1351
199	337	1351
200	339	1349
201	341	1347
202	342	1346
203	344	1344
